p,q,column_id,p_mapped,q_mapped,x,y,z,dx,dy,dz,side
-10,-1,578,-10.908923672229056,-1.6232226232551425,129.52870178222656,-312.55474853515625,-104.70709991455078,0.9009625851962384,-0.3490703522733644,-0.25771361865501025,right
-10,0,44,-10.895586108385107,-0.5579104533371326,137.96192932128906,-301.93675231933594,-94.29912567138672,0.9305040126076463,-0.295929042996468,-0.21584319315712436,right
-10,1,328,-10.882248544541156,0.5074017165808791,145.26512145996094,-290.29664611816406,-83.97797393798828,0.9549104778828269,-0.23826946994143414,-0.17712605376798565,right
-10,2,682,-10.868910980697207,1.5727138864988917,151.32373046875,-277.6004180908203,-73.81690216064453,0.9741100745033923,-0.1760382939771283,-0.14184527417089987,right
-10,3,698,-10.855573416853257,2.6380260564169027,156.00873565673828,-263.8154754638672,-63.89409255981445,0.9878516779705009,-0.10938322031466462,-0.11038284941266617,right
-10,4,268,-10.842235853009306,3.7033382263349144,159.1748504638672,-248.91404724121094,-54.29501533508301,0.995774079770351,-0.038782173447763746,-0.08324617156469154,right
-10,5,461,-10.828898289165355,4.768650396252924,160.65893173217773,-232.8760528564453,-45.113972663879395,0.9975262541719077,0.03484254564100685,-0.06105218465392658,right
-10,6,535,-10.815560725321404,5.8339625661709364,160.27753448486328,-215.6914520263672,-36.45626878738403,0.9929258839649108,0.11008594000980325,-0.04448904095008567,right
-9,-16,708,-10.034047953610225,-17.541201477089697,-85.686767578125,-350.78857421875,-205.0404052734375,-0.24018476649311712,-0.3573519563818938,-0.9025579522749106,right
-9,-15,725,-10.020710389766274,-16.475889307171684,-70.354736328125,-360.103515625,-204.39788818359375,-0.15580790697640642,-0.45349136102097,-0.8775360286637692,right
-9,-14,603,-10.007372825922324,-15.410577137253673,-54.7843017578125,-366.986572265625,-202.0362548828125,-0.06612016068472007,-0.5275677805977473,-0.8469358660643637,right
-9,-13,520,-9.994035262078372,-14.345264967335659,-39.118896484375,-371.72998046875,-198.1900634765625,0.026963011181955928,-0.5832936654935902,-0.8118137075850921,right
-9,-12,681,-9.980697698234424,-13.279952797417648,-23.482421875,-374.61083984375,-193.07244873046875,0.12181498467013054,-0.6233473258530481,-0.7723983563302486,right
-9,-11,525,-9.967360134390471,-12.214640627499637,-7.98321533203125,-375.854736328125,-186.8679656982422,0.21666259160491996,-0.6494613388496057,-0.7288739882440017,right
-9,-10,606,-9.954022570546522,-11.149328457581628,7.27728271484375,-375.65234375,-179.7461395263672,0.30963712145903993,-0.6629940212881367,-0.6815891583283477,right
-9,-9,169,-9.940685006702571,-10.084016287663616,22.215362548828125,-374.16058349609375,-171.8547821044922,0.39891240376298487,-0.665242348614825,-0.6311271755624766,right
-9,-8,167,-9.927347442858622,-9.018704117745605,36.751861572265625,-371.501953125,-163.32384490966797,0.48291328002665523,-0.6574485309102341,-0.5784083273759743,right
-9,-7,548,-9.914009879014671,-7.953391947827595,50.81632995605469,-367.77618408203125,-154.27058792114258,0.5605034043826018,-0.6409451875830678,-0.5244284509726941,right
-9,-6,331,-9.90067231517072,-6.888079777909583,64.34483337402344,-363.0541076660156,-144.79597091674805,0.6309949664724694,-0.6170301381900941,-0.47023309204214947,right
-9,-5,446,-9.887334751326769,-5.822767607991572,77.27255249023438,-357.38195419311523,-134.99293518066406,0.6942035436744249,-0.5868726780195336,-0.41672760856949675,right
-9,-4,114,-9.87399718748282,-4.7574554380735625,89.53932762145996,-350.79059982299805,-124.94358825683594,0.7502934795524322,-0.5514389058529404,-0.36465713712035835,right
-9,-3,345,-9.860659623638869,-3.6921432681555495,101.08266830444336,-343.29090118408203,-114.72243881225586,0.7996875071212144,-0.5114160308650479,-0.3145688069858451,right
-9,-2,20,-9.84732205979492,-2.6268310982375382,111.83734893798828,-334.88086700439453,-104.3993034362793,0.842916292087191,-0.467216853351758,-0.26683428654890523,right
-9,-1,444,-9.833984495950968,-1.5615189283195277,121.73356246948242,-325.5472412109375,-94.04045104980469,0.8805053740876678,-0.418998332338366,-0.22169953473204312,right
